#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507530497;142,29;142,29;23,48;10;13728077;25/03/2024
507530020;204,29;204,29;33,71;7;13728077;25/03/2024
507529781;211,71;211,71;34,93;9;13728077;25/03/2024
507529555;139,58;139,58;23,03;5;13728077;25/03/2024
507528824;6184,84;6184,84;1020,5;10;13728077;25/03/2024
507528704;153,77;153,77;25,37;9;13728077;25/03/2024
507528439;273,51;273,51;45,13;8;13728077;25/03/2024
507528329;244,84;244,84;40,4;8;13728077;25/03/2024
507528301;112,71;112,71;18,6;9;13728077;25/03/2024
507528062;154,03;154,03;25,41;8;13728077;25/03/2024
507527879;355,46;355,46;58,65;8;13728077;25/03/2024
507527831;106,36;106,36;17,55;7;13728077;25/03/2024
507527524;140,40;140,4;23,17;10;13728077;25/03/2024
507527178;142,05;142,05;23,44;6;13728077;25/03/2024
507526764;817,04;817,04;134,81;10;13728077;25/03/2024
507526749;117,55;117,55;19,4;10;13728077;25/03/2024
507526603;102,38;102,38;16,89;7;13728077;25/03/2024
507526337;761,43;761,43;125,64;10;13728077;25/03/2024
507526184;2451,18;2451,18;404,44;3;13728077;25/03/2024
507525947;111,01;111,01;18,32;6;13728077;25/03/2024
507525914;1018,46;1018,46;168,05;6;13728077;25/03/2024
